Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-08-07,12627.56,12663.33,12414.11,12632.96,4491750000,0,0
2019-08-08,12685.72,12835.05,12676.39,12828.82,4106370000,0,0
2019-08-09,12793.24,12811.45,12689.67,12748.42,3350640000,0,0
2019-08-12,12688.78,12688.78,12556.97,12586.24,2851630000,0,0
2019-08-13,12589.77,12789.08,12552.31,12724.36,3853600000,0,0
2019-08-14,12641.29,12641.29,12367.39,12368.05,4312530000,0,0
2019-08-15,12386.25,12441.51,12325.93,12409.54,4038000000,0,0
2019-08-16,12442.23,12597.69,12442.23,12580.41,3498150000,0,0
2019-08-19,12687.83,12718.48,12668.81,12687.91,3212880000,0,0
2019-08-20,12687.91,12687.91,12597.81,12599.41,3066300000,0,0
2019-08-21,12691.76,12712.72,12677.33,12697.01,3011190000,0,0
2019-08-22,12724.21,12750.27,12631.86,12688.46,2890880000,0,0
2019-08-23,12643.94,12710.65,12370.07,12416.45,3937300000,0,0
2019-08-26,12430.73,12528.98,12430.73,12519.62,2857600000,0,0
2019-08-27,12562.04,12601.15,12450.89,12474.05,3533630000,0,0
2019-08-28,12467.37,12570.99,12426.06,12559.23,3097420000,0,0
2019-08-29,12657.22,12722.28,12635.99,12704.03,3176190000,0,0
2019-08-30,12740.16,12785.4,12687.12,12736.88,3008450000,0,0
2019-09-03,12720.19,12720.19,12600.71,12663.4,3426790000,0,0
2019-09-04,12757.25,12797.0,12746.26,12796.32,3163260000,0,0
2019-09-05,12796.32,12963.57,12796.32,12917.76,3890700000,0,0
2019-09-06,12933.51,12960.6,12915.93,12933.38,3208280000,0,0
2019-09-09,12975.02,12975.02,12925.41,12960.72,4002890000,0,0
2019-09-10,12954.29,12993.97,12900.81,12993.96,4390770000,0,0
2019-09-11,13008.33,13082.41,12981.43,13082.41,3927550000,0,0
2019-09-12,13096.23,13150.87,13061.74,13116.05,3791860000,0,0
2019-09-13,13150.8,13171.47,13110.07,13124.34,3520060000,0,0
2019-09-16,13134.0,13134.0,13080.41,13107.98,4274640000,0,0
2019-09-17,13087.87,13131.84,13074.78,13131.41,3671840000,0,0
2019-09-18,13109.63,13125.58,13024.94,13119.31,3435540000,0,0
2019-09-19,13121.21,13177.88,13100.88,13111.25,3251290000,0,0
2019-09-20,13148.41,13171.38,13074.27,13093.8,6094740000,0,0
2019-09-23,13084.81,13111.45,13040.13,13085.33,3186590000,0,0
2019-09-24,13087.74,13128.05,12961.23,12992.26,3868160000,0,0
2019-09-25,12991.1,13053.07,12943.44,13037.61,3318870000,0,0
2019-09-26,13042.2,13061.86,12985.03,13028.74,3077240000,0,0
2019-09-27,13053.2,13068.61,12913.42,12971.98,3243650000,0,0
2019-09-30,12988.89,13037.81,12988.89,13004.74,3247610000,0,0
2019-10-01,13002.33,13038.13,12824.15,12835.35,3558040000,0,0
2019-10-02,12742.09,12742.09,12557.07,12608.43,3912520000,0,0
2019-10-03,12587.32,12687.56,12482.02,12685.77,3503640000,0,0
2019-10-04,12689.93,12835.21,12689.93,12831.55,2990830000,0,0
2019-10-07,12816.24,12856.45,12768.76,12777.74,2940140000,0,0
2019-10-08,12734.55,12734.55,12589.81,12590.91,3356450000,0,0
2019-10-09,12622.48,12730.35,12622.48,12691.16,2726820000,0,0
2019-10-10,12688.58,12802.76,12682.19,12766.0,3217250000,0,0
2019-10-11,12766.0,13025.25,12766.0,12926.92,3580460000,0,0
2019-10-14,12923.48,12923.48,12883.96,12896.22,2557020000,0,0
2019-10-15,12897.03,13044.83,12897.03,13006.04,3340740000,0,0
2019-10-16,12997.46,13028.2,12978.73,12994.89,3222570000,0,0
2019-10-17,13030.51,13078.12,13021.4,13039.23,3115960000,0,0
2019-10-18,13032.47,13044.08,12972.84,13006.64,3264290000,0,0
2019-10-21,13019.25,13091.94,13019.25,13088.61,3271620000,0,0
2019-10-22,13097.03,13140.57,13070.21,13071.86,3523890000,0,0
2019-10-23,13076.38,13114.61,13062.74,13114.39,3392870000,0,0
2019-10-24,13119.65,13153.33,13083.29,13118.9,3692600000,0,0
2019-10-25,13106.21,13170.69,13088.94,13146.24,3370370000,0,0
2019-10-28,13183.9,13223.19,13183.9,13186.43,3521230000,0,0
2019-10-29,13170.9,13239.2,13156.75,13209.63,3589930000,0,0
2019-10-30,13215.87,13248.65,13152.96,13244.01,3776030000,0,0
2019-10-31,13239.43,13239.43,13116.58,13171.81,4139280000,0,0
2019-11-01,13231.18,13300.35,13231.18,13300.27,3930200000,0,0
2019-11-04,13321.18,13387.49,13321.18,13355.44,4146850000,0,0
2019-11-05,13368.24,13385.03,13323.06,13339.59,4486130000,0,0
2019-11-06,13339.84,13364.94,13319.79,13351.57,4458190000,0,0
2019-11-07,13376.93,13436.97,13376.93,13395.55,4144640000,0,0
2019-11-08,13376.34,13407.81,13343.02,13407.8,3499150000,0,0
2019-11-11,13347.3,13395.65,13333.91,13388.12,3035530000,0,0
2019-11-12,13391.97,13438.76,13366.88,13387.62,3466010000,0,0
2019-11-13,13387.62,13400.8,13325.52,13385.05,3509280000,0,0
2019-11-14,13385.05,13397.04,13346.76,13392.0,3276070000,0,0
2019-11-15,13432.76,13492.96,13426.98,13492.96,3335650000,0,0
2019-11-18,13488.48,13498.08,13464.01,13483.81,3436690000,0,0
2019-11-19,13489.78,13508.88,13448.27,13466.35,3590070000,0,0
2019-11-20,13460.34,13460.34,13360.66,13419.3,4034890000,0,0
2019-11-21,13420.33,13430.71,13366.99,13406.42,3720560000,0,0
2019-11-22,13412.27,13451.42,13404.54,13440.95,3226780000,0,0
2019-11-25,13471.52,13534.59,13471.52,13532.89,3511530000,0,0
2019-11-26,13532.56,13564.63,13513.11,13559.71,4595590000,0,0
2019-11-27,13577.52,13611.49,13563.34,13607.62,3033090000,0,0
2019-11-29,13595.86,13607.67,13537.67,13545.21,1743020000,0,0
2019-12-02,13554.29,13554.29,13443.1,13448.26,3268740000,0,0
2019-12-03,13363.66,13373.88,13280.04,13366.09,3653390000,0,0
2019-12-04,13408.08,13484.41,13408.08,13457.97,3695030000,0,0
2019-12-05,13466.73,13491.21,13429.3,13482.3,3355750000,0,0
2019-12-06,13515.48,13612.06,13515.48,13588.29,3479480000,0,0
2019-12-09,13570.54,13600.14,13555.07,13555.07,3345990000,0,0
2019-12-10,13551.0,13574.22,13521.24,13545.31,3343790000,0,0
2019-12-11,13554.09,13590.74,13547.68,13579.92,3252540000,0,0
2019-12-12,13587.7,13725.35,13581.08,13697.41,3990690000,0,0
2019-12-13,13711.25,13773.13,13655.45,13697.34,3736870000,0,0
2019-12-16,13781.65,13825.76,13781.65,13795.15,4051790000,0,0
2019-12-17,13795.15,13813.31,13787.72,13795.35,3837540000,0,0
2019-12-18,13805.2,13819.7,13790.24,13799.21,4014080000,0,0
2019-12-19,13801.73,13838.99,13798.78,13831.67,3720450000,0,0
2019-12-20,13831.67,13914.28,13831.67,13889.25,6454270000,0,0
2019-12-23,13906.87,13908.16,13888.59,13899.99,3060610000,0,0
2019-12-24,13902.96,13902.96,13885.56,13895.14,1296540000,0,0
2019-12-26,13911.16,13941.56,13895.2,13940.42,2160680000,0,0
2019-12-27,13976.85,13978.61,13928.15,13944.14,2428670000,0,0
2019-12-30,13951.26,13952.78,13864.57,13876.15,3013290000,0,0
2019-12-31,13852.6,13915.74,13843.98,13913.03,2893810000,0,0
2020-01-02,13913.03,14003.39,13913.03,14002.49,3458250000,0,0
2020-01-03,13877.48,13950.74,13870.74,13917.05,3461290000,0,0
2020-01-06,13856.72,13943.3,13852.73,13941.8,3674070000,0,0
2020-01-07,13911.19,13923.51,13880.53,13898.45,3420380000,0,0
2020-01-08,13897.01,13986.69,13896.59,13934.44,3720890000,0,0
2020-01-09,13974.07,14004.42,13960.17,13997.65,3638390000,0,0
2020-01-10,14018.12,14021.65,13941.52,13957.97,3212970000,0,0
2020-01-13,13980.47,14042.65,13963.87,14042.65,3456380000,0,0
2020-01-14,14024.23,14068.58,14005.63,14037.13,3665130000,0,0
2020-01-15,14022.3,14089.94,14021.18,14053.23,3716840000,0,0
2020-01-16,14103.53,14142.31,14094.88,14141.78,3535080000,0,0
2020-01-17,14168.14,14183.26,14156.4,14183.2,3698170000,0,0
2020-01-21,14126.12,14153.02,14102.39,14109.98,4105340000,0,0
2020-01-22,14147.89,14168.2,14104.06,14110.24,3619850000,0,0
2020-01-23,14064.28,14109.59,14003.28,14102.04,3764860000,0,0
